Time,V1,V2,V3,V4,V5,V6,V7,V8,Sh,S1,S2,S3,S4
7:00,4,5,0,0,1,4,0,0,1,0,19.6143939,24.56748252,0
8:00,8,1,0,0,2,3,0,0,1,0,22.54387352,46.17151158,0
9:00,11,9,0,0,0,7,0,0,1,0,10.9784303,13.77996575,0
10:00,7,7,0,0,4,4,0,0,1,0,13.27863971,17.3991305,0
11:00,11,8,0,0,2,7,0,0,1,0,11.88773861,39.17647059,0
12:00,12,16,0,0,0,3,0,0,1,0,19.78846154,14.50355147,0
13:00,6,12,0,0,0,1,0,0,1,0,0,35.93750976,0
14:00,6,4,0,0,1,5,0,0,1,0,12.565,0,0
15:00,10,16,0,0,1,5,0,0,1,0,10.29989939,21.84193548,0
16:00,7,4,0,0,2,8,0,0,1,0,13.92877447,16.7263671,0
17:00,15,14,0,0,1,18,0,0,1,0,14.05653355,16.67266282,0
18:00,7,16,0,0,1,11,0,0,1,0,9.618821155,14.10989173,0
19:00,8,11,0,0,2,4,0,0,1,0,9.586494945,15.60921927,0
20:00,9,4,0,0,2,9,0,0,1,0,27.38944437,14.64253936,0
21:00,6,8,0,0,2,15,0,0,1,0,9.140992321,15.80063766,0
22:00,6,6,0,0,0,3,0,0,1,0,23.20216216,52.26843814,0
7:00,4,5,0,0,1,4,0,0,1,0,19.6143939,24.56748252,0
8:00,8,1,0,0,2,3,0,0,1,0,22.54387352,46.17151158,0
9:00,11,9,0,0,0,7,0,0,1,0,10.9784303,13.77996575,0
10:00,7,7,0,0,4,4,0,0,1,0,13.27863971,17.3991305,0
11:00,11,8,0,0,2,7,0,0,1,0,11.88773861,39.17647059,0
12:00,12,16,0,0,0,3,0,0,1,0,19.78846154,14.50355147,0
13:00,6,12,0,0,0,1,0,0,1,0,0,35.93750976,0
14:00,6,4,0,0,1,5,0,0,1,0,12.565,0,0
15:00,10,16,0,0,1,5,0,0,1,0,10.29989939,21.84193548,0
16:00,7,4,0,0,2,8,0,0,1,0,13.92877447,16.7263671,0
17:00,15,14,0,0,1,18,0,0,1,0,14.05653355,16.67266282,0
18:00,7,16,0,0,1,11,0,0,1,0,9.618821155,14.10989173,0
19:00,8,11,0,0,2,4,0,0,1,0,9.586494945,15.60921927,0
20:00,9,4,0,0,2,9,0,0,1,0,27.38944437,14.64253936,0
21:00,6,8,0,0,2,15,0,0,1,0,9.140992321,15.80063766,0
22:00,6,6,0,0,0,3,0,0,1,0,23.20216216,52.26843814,0
7:00,4,5,0,0,1,4,0,0,1,0,19.6143939,24.56748252,0
8:00,8,1,0,0,2,3,0,0,1,0,22.54387352,46.17151158,0
9:00,11,9,0,0,0,7,0,0,1,0,10.9784303,13.77996575,0
10:00,7,7,0,0,4,4,0,0,1,0,13.27863971,17.3991305,0
11:00,11,8,0,0,2,7,0,0,1,0,11.88773861,39.17647059,0
12:00,12,16,0,0,0,3,0,0,1,0,19.78846154,14.50355147,0
13:00,6,12,0,0,0,1,0,0,1,0,0,35.93750976,0
14:00,6,4,0,0,1,5,0,0,1,0,12.565,0,0
15:00,10,16,0,0,1,5,0,0,1,0,10.29989939,21.84193548,0
16:00,7,4,0,0,2,8,0,0,1,0,13.92877447,16.7263671,0
17:00,15,14,0,0,1,18,0,0,1,0,14.05653355,16.67266282,0
18:00,7,16,0,0,1,11,0,0,1,0,9.618821155,14.10989173,0
19:00,8,11,0,0,2,4,0,0,1,0,9.586494945,15.60921927,0
20:00,9,4,0,0,2,9,0,0,1,0,27.38944437,14.64253936,0
21:00,6,8,0,0,2,15,0,0,1,0,9.140992321,15.80063766,0
22:00,6,6,0,0,0,3,0,0,1,0,23.20216216,52.26843814,0
7:00,4,5,0,0,1,4,0,0,1,0,19.6143939,24.56748252,0
8:00,8,1,0,0,2,3,0,0,1,0,22.54387352,46.17151158,0
9:00,11,9,0,0,0,7,0,0,1,0,10.9784303,13.77996575,0
10:00,7,7,0,0,4,4,0,0,1,0,13.27863971,17.3991305,0
11:00,11,8,0,0,2,7,0,0,1,0,11.88773861,39.17647059,0
12:00,12,16,0,0,0,3,0,0,1,0,19.78846154,14.50355147,0
13:00,6,12,0,0,0,1,0,0,1,0,0,35.93750976,0
14:00,6,4,0,0,1,5,0,0,1,0,12.565,0,0
15:00,10,16,0,0,1,5,0,0,1,0,10.29989939,21.84193548,0
16:00,7,4,0,0,2,8,0,0,1,0,13.92877447,16.7263671,0
17:00,15,14,0,0,1,18,0,0,1,0,14.05653355,16.67266282,0
18:00,7,16,0,0,1,11,0,0,1,0,9.618821155,14.10989173,0
19:00,8,11,0,0,2,4,0,0,1,0,9.586494945,15.60921927,0
20:00,9,4,0,0,2,9,0,0,1,0,27.38944437,14.64253936,0
21:00,6,8,0,0,2,15,0,0,1,0,9.140992321,15.80063766,0
22:00,6,6,0,0,0,3,0,0,1,0,23.20216216,52.26843814,0
7:00,4,5,0,0,1,4,0,0,1,0,19.6143939,24.56748252,0
8:00,8,1,0,0,2,3,0,0,1,0,22.54387352,46.17151158,0
9:00,11,9,0,0,0,7,0,0,1,0,10.9784303,13.77996575,0
10:00,7,7,0,0,4,4,0,0,1,0,13.27863971,17.3991305,0
11:00,11,8,0,0,2,7,0,0,1,0,11.88773861,39.17647059,0
12:00,12,16,0,0,0,3,0,0,1,0,19.78846154,14.50355147,0
13:00,6,12,0,0,0,1,0,0,1,0,0,35.93750976,0
14:00,6,4,0,0,1,5,0,0,1,0,12.565,0,0
15:00,10,16,0,0,1,5,0,0,1,0,10.29989939,21.84193548,0
16:00,7,4,0,0,2,8,0,0,1,0,13.92877447,16.7263671,0
17:00,15,14,0,0,1,18,0,0,1,0,14.05653355,16.67266282,0
18:00,7,16,0,0,1,11,0,0,1,0,9.618821155,14.10989173,0
19:00,8,11,0,0,2,4,0,0,1,0,9.586494945,15.60921927,0
20:00,9,4,0,0,2,9,0,0,1,0,27.38944437,14.64253936,0
21:00,6,8,0,0,2,15,0,0,1,0,9.140992321,15.80063766,0
22:00,6,6,0,0,0,3,0,0,1,0,23.20216216,52.26843814,0
7:00,4,5,0,0,1,4,0,0,1,0,19.6143939,24.56748252,0
8:00,8,1,0,0,2,3,0,0,1,0,22.54387352,46.17151158,0
9:00,11,9,0,0,0,7,0,0,1,0,10.9784303,13.77996575,0
10:00,7,7,0,0,4,4,0,0,1,0,13.27863971,17.3991305,0
11:00,11,8,0,0,2,7,0,0,1,0,11.88773861,39.17647059,0
12:00,12,16,0,0,0,3,0,0,1,0,19.78846154,14.50355147,0
13:00,6,12,0,0,0,1,0,0,1,0,0,35.93750976,0
14:00,6,4,0,0,1,5,0,0,1,0,12.565,0,0
15:00,10,16,0,0,1,5,0,0,1,0,10.29989939,21.84193548,0
16:00,7,4,0,0,2,8,0,0,1,0,13.92877447,16.7263671,0
17:00,15,14,0,0,1,18,0,0,1,0,14.05653355,16.67266282,0
18:00,7,16,0,0,1,11,0,0,1,0,9.618821155,14.10989173,0
19:00,8,11,0,0,2,4,0,0,1,0,9.586494945,15.60921927,0
20:00,9,4,0,0,2,9,0,0,1,0,27.38944437,14.64253936,0
21:00,6,8,0,0,2,15,0,0,1,0,9.140992321,15.80063766,0
22:00,6,6,0,0,0,3,0,0,1,0,23.20216216,52.26843814,0
7:00,4,5,0,0,1,4,0,0,1,0,19.6143939,24.56748252,0
8:00,8,1,0,0,2,3,0,0,1,0,22.54387352,46.17151158,0
9:00,11,9,0,0,0,7,0,0,1,0,10.9784303,13.77996575,0
10:00,7,7,0,0,4,4,0,0,1,0,13.27863971,17.3991305,0
11:00,11,8,0,0,2,7,0,0,1,0,11.88773861,39.17647059,0
12:00,12,16,0,0,0,3,0,0,1,0,19.78846154,14.50355147,0
13:00,6,12,0,0,0,1,0,0,1,0,0,35.93750976,0
14:00,6,4,0,0,1,5,0,0,1,0,12.565,0,0
15:00,10,16,0,0,1,5,0,0,1,0,10.29989939,21.84193548,0
16:00,7,4,0,0,2,8,0,0,1,0,13.92877447,16.7263671,0
17:00,15,14,0,0,1,18,0,0,1,0,14.05653355,16.67266282,0
18:00,7,16,0,0,1,11,0,0,1,0,9.618821155,14.10989173,0
19:00,8,11,0,0,2,4,0,0,1,0,9.586494945,15.60921927,0
20:00,9,4,0,0,2,9,0,0,1,0,27.38944437,14.64253936,0
21:00,6,8,0,0,2,15,0,0,1,0,9.140992321,15.80063766,0
22:00,6,6,0,0,0,3,0,0,1,0,23.20216216,52.26843814,0
