Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Sh,P1,P2,P3,P4,S1,S2,S3,S4,Y1,Y2,Y3,Y4,R1,R2,R3,R4,M1,M2,M3,M4,L1,L2,L3,L4,N1,N2,N3,N4
7:00,0,6,0,0,0,5,0,0,1,3,0,0,3,1,0,0,1,1,11,2,0,0,0,8.15154185,0,0,0,0,0,7,7,7,7,6,6,6,6,0.553,0.317,0.514,0.212,3,2,3,2
8:00,2,5,0,0,0,3,0,0,0,9,0,0,3,8,0,0,1,1,10,0,0,16.0486014,15.85,33.69613219,0,0,0,0,0,7,7,7,7,6,6,6,6,0.553,0.317,0.514,0.212,3,2,3,2
9:00,2,9,0,0,1,3,0,0,5,15,0,0,0,8,0,0,1,1,6,5,0,44.53436105,9.51,16.09043478,0,0,0,0,0,7,7,7,7,6,6,6,6,0.553,0.317,0.514,0.212,3,2,3,2
10:00,2,5,0,0,2,6,0,0,2,4,0,0,1,4,0,0,1,0,6,1,0,22.01114061,7.233072212,0,0,0,0,0,0,7,7,7,7,6,6,6,6,0.553,0.317,0.514,0.212,3,2,3,2
11:00,2,12,0,0,3,7,0,0,3,4,0,0,1,6,0,0,1,1,7,1,0,17.25121608,12.79813665,22.2939759,0,0,0,0,0,7,7,7,7,6,6,6,6,0.553,0.317,0.514,0.212,3,2,3,2
12:00,1,10,0,0,2,10,0,0,4,14,0,0,2,4,0,0,1,3,10,3,0,15.35249502,15.45871275,25.7,0,0,0,0,0,7,7,7,7,6,6,6,6,0.553,0.317,0.514,0.212,3,2,3,2
13:00,2,10,0,0,0,5,0,0,2,5,0,0,1,4,0,0,1,1,3,0,0,46.0463841,22.60480192,0,0,0,0,0,0,7,7,7,7,6,6,6,6,0.553,0.317,0.514,0.212,3,2,3,2
14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,6,6,6,6,0.553,0.317,0.514,0.212,3,2,3,2
15:00,5,8,0,0,2,2,0,0,4,16,0,0,1,4,0,0,1,1,5,4,0,40.32127411,42.26666667,10.00216216,0,0,0,0,0,7,7,7,7,6,6,6,6,0.553,0.317,0.514,0.212,3,2,3,2
16:00,3,10,0,0,1,2,0,0,7,5,0,0,4,6,0,0,1,1,5,0,0,30.96619928,9.753846154,26.37326107,0,0,0,0,0,7,7,7,7,6,6,6,6,0.553,0.317,0.514,0.212,3,2,3,2
