V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,S1,S2,S3,S4
8,1,0,0,2,3,0,0,4,9,1,0,0,0,0,0,,22.54387352,46.17151158,0
2,5,0,0,0,3,0,0,0,9,0,0,3,8,0,0,16.0486014,15.85,33.69613219,0
11,9,0,0,0,7,0,0,6,3,7,0,0,0,0,0,,10.9784303,13.77996575,0
0,6,0,0,0,5,0,0,1,3,0,0,3,1,0,0,0,0,8.15154185,0
7,7,0,0,4,4,0,0,3,13,4,0,0,0,0,0,,13.27863971,17.3991305,0
1,10,0,0,2,10,0,0,4,14,0,0,2,4,0,0,15.35249502,15.45871275,25.7,0
11,8,0,0,2,7,0,0,0,8,7,0,0,0,0,0,,11.88773861,39.17647059,0
2,5,0,0,0,3,0,0,0,9,0,0,3,8,0,0,16.0486014,15.85,33.69613219,0
6,12,0,0,0,1,0,0,1,9,3,0,0,0,0,0,,0,35.93750976,0
2,5,0,0,0,3,0,0,0,9,0,0,3,8,0,0,16.0486014,15.85,33.69613219,0
6,4,0,0,1,5,0,0,3,14,5,0,0,0,0,0,,12.565,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16,0,0,1,5,0,0,2,7,4,0,0,0,0,0,,10.29989939,21.84193548,0
2,12,0,0,3,7,0,0,3,4,0,0,1,6,0,0,17.25121608,12.79813665,22.2939759,0
7,4,0,0,2,8,0,0,1,6,11,0,0,0,0,0,,13.92877447,16.7263671,0
0,6,0,0,0,5,0,0,1,3,0,0,3,1,0,0,0,0,8.15154185,0
7,16,0,0,1,11,0,0,1,6,10,0,0,0,0,0,,9.618821155,14.10989173,0
0,6,0,0,0,5,0,0,1,3,0,0,3,1,0,0,0,0,8.15154185,0
9,4,0,0,2,9,0,0,3,9,11,0,0,0,0,0,,27.38944437,14.64253936,0
1,9,0,0,4,8,0,0,5,9,0,0,0,6,0,0,14.18129038,26.38488722,27.21176471,0
6,8,0,0,2,15,0,0,2,4,13,0,0,0,0,0,,9.140992321,15.80063766,0
0,6,0,0,0,5,0,0,1,3,0,0,3,1,0,0,0,0,8.15154185,0
6,6,0,0,0,3,0,0,2,9,5,0,0,0,0,0,,23.20216216,52.26843814,0
2,5,0,0,0,3,0,0,0,9,0,0,3,8,0,0,16.0486014,15.85,33.69613219,0
