V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
8,1,0,0,2,3,0,0,4,9,1,0,0,0,0,0
2,5,0,0,0,3,0,0,0,9,0,0,3,8,0,0
11,9,0,0,0,7,0,0,6,3,7,0,0,0,0,0
0,6,0,0,0,5,0,0,1,3,0,0,3,1,0,0
7,7,0,0,4,4,0,0,3,13,4,0,0,0,0,0
1,10,0,0,2,10,0,0,4,14,0,0,2,4,0,0
11,8,0,0,2,7,0,0,0,8,7,0,0,0,0,0
2,5,0,0,0,3,0,0,0,9,0,0,3,8,0,0
6,12,0,0,0,1,0,0,1,9,3,0,0,0,0,0
2,5,0,0,0,3,0,0,0,9,0,0,3,8,0,0
6,4,0,0,1,5,0,0,3,14,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16,0,0,1,5,0,0,2,7,4,0,0,0,0,0
2,12,0,0,3,7,0,0,3,4,0,0,1,6,0,0
7,4,0,0,2,8,0,0,1,6,11,0,0,0,0,0
0,6,0,0,0,5,0,0,1,3,0,0,3,1,0,0
7,16,0,0,1,11,0,0,1,6,10,0,0,0,0,0
0,6,0,0,0,5,0,0,1,3,0,0,3,1,0,0
9,4,0,0,2,9,0,0,3,9,11,0,0,0,0,0
1,9,0,0,4,8,0,0,5,9,0,0,0,6,0,0
6,8,0,0,2,15,0,0,2,4,13,0,0,0,0,0
0,6,0,0,0,5,0,0,1,3,0,0,3,1,0,0
6,6,0,0,0,3,0,0,2,9,5,0,0,0,0,0
2,5,0,0,0,3,0,0,0,9,0,0,3,8,0,0
